State,Statistical Area 4,People aged 15 and over with at least one dose %,% People aged 15 and over fully vaccinated
New South Wales,Capital Region,50.0%,21.9%
New South Wales,Central Coast,49.4%,23.3%
New South Wales,Central West,43.1%,20.1%
New South Wales,Coffs Harbour - Grafton,44.4%,17.8%
New South Wales,Far West and Orana,36.9%,16.3%
New South Wales,Hunter Valley exc Newcastle,40.6%,17.0%
New South Wales,Illawarra,46.7%,24.7%
New South Wales,Mid North Coast,49.2%,21.6%
New South Wales,Murray,48.3%,20.3%
New South Wales,New England and North West,41.0%,18.1%
New South Wales,Newcastle and Lake Macquarie,44.4%,20.3%
New South Wales,Richmond - Tweed,42.5%,20.0%
New South Wales,Riverina,46.2%,22.2%
New South Wales,Southern Highlands and Shoalhaven,54.0%,26.6%
New South Wales,Sydney - Baulkham Hills and Hawkesbury,56.0%,30.2%
New South Wales,Sydney - Blacktown,45.6%,23.4%
New South Wales,Sydney - City and Inner South,40.8%,23.3%
New South Wales,Sydney - Eastern Suburbs,49.3%,28.4%
New South Wales,Sydney - Inner South West,39.0%,19.1%
New South Wales,Sydney - Inner West,47.5%,27.0%
New South Wales,Sydney - North Sydney and Hornsby,57.6%,32.0%
New South Wales,Sydney - Northern Beaches,53.7%,25.6%
New South Wales,Sydney - Outer South West,44.8%,21.7%
New South Wales,Sydney - Outer West and Blue Mountains,43.9%,21.1%
New South Wales,Sydney - Parramatta,40.2%,21.2%
New South Wales,Sydney - Ryde,51.3%,28.0%
New South Wales,Sydney - South West,38.6%,17.9%
New South Wales,Sydney - Sutherland,55.0%,26.9%